HJD UT_Date Camera FWHM Limit mag mag_err flux(mJy) flux_err Filter
2456972.86075 2014-11-11.3575349 be 1.39 15.651 13.021 0.019 23.755 0.423 V
2456974.84291 2014-11-13.3397358 be 1.44 15.668 12.854 0.016 27.671 0.418 V
2456974.84434 2014-11-13.3411621 be 1.44 15.707 12.735 0.014 30.880 0.404 V
2456977.79191 2014-11-16.2888074 be 1.45 15.679 12.726 0.014 31.160 0.413 V
2456977.79335 2014-11-16.2902407 be 1.47 15.809 12.774 0.013 29.817 0.366 V
2456983.64723 2014-11-22.1442813 be 1.45 15.877 12.972 0.015 24.856 0.344 V
2456983.64865 2014-11-22.1456990 be 1.40 15.877 12.868 0.014 27.329 0.345 V
2456983.72211 2014-11-22.2191582 be 1.41 15.917 12.820 0.013 28.591 0.332 V
2456983.72353 2014-11-22.2205821 be 1.41 15.885 12.820 0.013 28.554 0.342 V
2456988.64194 2014-11-27.1391464 be 1.44 15.848 12.878 0.014 27.088 0.355 V
2456988.64337 2014-11-27.1405724 be 1.43 15.723 12.839 0.015 28.063 0.397 V
2456991.64872 2014-11-30.1460258 be 1.44 15.716 12.692 0.014 32.142 0.400 V
2456991.65016 2014-11-30.1474658 be 1.41 15.839 12.688 0.012 32.254 0.357 V
2456995.62167 2014-12-04.1191173 be 1.88 15.337 12.597 0.018 35.077 0.568 V
2456995.62309 2014-12-04.1205443 be 2.01 15.326 12.417 0.015 41.402 0.576 V
2456998.62643 2014-12-07.1239935 be 1.53 15.469 12.914 0.021 26.218 0.501 V
2456998.62787 2014-12-07.1254339 be 1.52 15.510 12.974 0.021 24.779 0.482 V
2457000.62909 2014-12-09.1267365 be 1.47 15.602 12.740 0.016 30.764 0.443 V
2457000.63055 2014-12-09.1281876 be 1.45 15.650 12.796 0.016 29.226 0.425 V
2457002.75777 2014-12-11.2555064 be 1.40 15.783 12.815 0.014 28.695 0.376 V
2457002.75919 2014-12-11.2569258 be 1.42 15.666 13.052 0.020 23.071 0.417 V
2457004.73638 2014-12-13.2341956 be 1.38 15.538 12.841 0.018 28.014 0.471 V
2457004.73781 2014-12-13.2356208 be 1.40 15.239 12.913 0.027 26.243 0.639 V
2457006.61760 2014-12-15.1154982 be 1.42 15.859 12.785 0.013 29.514 0.350 V
2457006.61903 2014-12-15.1169278 be 1.41 15.805 12.822 0.014 28.518 0.367 V
2457009.61749 2014-12-18.1155263 be 1.44 15.822 12.768 0.013 29.960 0.363 V
2457009.61892 2014-12-18.1169533 be 1.43 15.839 12.916 0.015 26.156 0.356 V
2457013.61639 2014-12-22.1146076 be 1.41 15.850 12.857 0.014 27.626 0.353 V
2457013.61782 2014-12-22.1160406 be 1.41 15.901 12.845 0.013 27.939 0.337 V
2457017.61079 2014-12-26.1091995 be 1.53 15.776 12.770 0.014 29.929 0.379 V
2457017.61222 2014-12-26.1106296 be 1.49 15.810 12.877 0.015 27.111 0.367 V
2457020.60717 2014-12-29.1057287 be 1.70 15.712 12.586 0.012 35.425 0.404 V
2457020.60860 2014-12-29.1071579 be 1.66 15.775 12.757 0.014 30.263 0.378 V
2457024.59404 2015-01-02.0928032 be 1.62 15.628 12.856 0.017 27.634 0.433 V
2457024.59546 2015-01-02.0942211 be 1.59 15.442 12.798 0.019 29.142 0.513 V
2457029.58674 2015-01-07.0857660 be 1.89 15.589 12.729 0.016 31.078 0.450 V
2457029.58819 2015-01-07.0872127 be 1.98 15.529 12.563 0.014 36.207 0.477 V
2457033.58086 2015-01-11.0800958 be 1.44 15.791 12.772 0.014 29.854 0.372 V
2457033.58228 2015-01-11.0815155 be 1.41 15.752 12.805 0.015 28.947 0.386 V
2457036.57697 2015-01-14.0763616 be 1.85 15.782 12.613 0.012 34.576 0.379 V
2457036.57840 2015-01-14.0777922 be 2.05 15.651 12.570 0.013 35.969 0.428 V
2457039.57920 2015-01-17.0787556 be 1.70 15.696 12.584 0.012 35.531 0.408 V
2457039.58063 2015-01-17.0801798 be 1.62 15.819 12.810 0.014 28.829 0.364 V
2457043.58138 2015-01-21.0811454 be 1.52 15.973 12.934 0.013 25.708 0.315 V
2457043.58279 2015-01-21.0825586 be 1.54 15.886 12.875 0.014 27.160 0.343 V
2457046.57804 2015-01-24.0779626 be 1.56 15.854 12.983 0.016 24.587 0.352 V
2457046.57947 2015-01-24.0793929 be 1.56 15.800 12.662 0.012 33.037 0.370 V
2457051.64799 2015-01-29.1481847 be 1.45 15.659 12.796 0.016 29.229 0.420 V
2457051.64942 2015-01-29.1496113 be 1.47 15.620 12.991 0.019 24.413 0.436 V
