HJD UT_Date Camera FWHM Limit mag mag_err flux(mJy) flux_err Filter
2458077.75213 2017-11-20.2495378 bk 1.61 16.430 13.646 0.017 12.637 0.195 g
2458079.74351 2017-11-22.2409788 bk 1.45 16.505 13.736 0.017 11.634 0.182 g
2458079.74473 2017-11-22.2421949 bk 1.48 16.353 13.705 0.019 11.973 0.210 g
2458079.74595 2017-11-22.2434168 bk 1.49 16.486 13.758 0.018 11.394 0.186 g
2458080.48152 2017-11-22.9790077 bo 1.58 16.157 13.235 0.015 18.443 0.252 g
2458080.48273 2017-11-22.9802215 bo 1.75 16.169 13.177 0.014 19.462 0.250 g
2458080.48394 2017-11-22.9814297 bo 1.79 16.270 13.247 0.014 18.253 0.228 g
2458080.74816 2017-11-23.2456561 bk 1.41 16.464 13.822 0.019 10.751 0.189 g
2458080.74939 2017-11-23.2468776 bk 1.41 16.452 13.767 0.018 11.312 0.192 g
2458080.75060 2017-11-23.2480976 bk 1.40 16.435 13.818 0.020 10.785 0.195 g
2458081.48373 2017-11-23.9812495 bo 1.51 16.319 13.351 0.014 16.573 0.217 g
2458081.48494 2017-11-23.9824594 bo 1.49 16.189 13.366 0.016 16.361 0.245 g
2458081.48616 2017-11-23.9836756 bo 1.46 16.267 13.358 0.015 16.476 0.228 g
2458081.74489 2017-11-24.2424142 bk 1.53 16.534 13.705 0.016 11.958 0.178 g
2458081.74610 2017-11-24.2436319 bk 1.58 16.471 13.708 0.017 11.930 0.188 g
2458081.74732 2017-11-24.2448489 bk 1.48 16.488 13.672 0.016 12.331 0.185 g
2458082.48425 2017-11-24.9818046 bo 1.49 16.146 13.388 0.017 16.030 0.254 g
2458082.48621 2017-11-24.9837652 bo 1.42 16.003 13.361 0.019 16.433 0.291 g
2458082.48743 2017-11-24.9849813 bo 1.48 15.944 13.375 0.021 16.230 0.307 g
2458082.73442 2017-11-25.2319809 bk 1.50 16.467 13.745 0.018 11.538 0.189 g
2458082.73563 2017-11-25.2331922 bk 1.51 16.496 13.658 0.016 12.493 0.184 g
2458082.73685 2017-11-25.2344109 bk 1.52 16.376 13.715 0.019 11.860 0.205 g
2458083.47723 2017-11-25.9748085 bo 1.47 16.331 13.474 0.016 14.815 0.214 g
2458083.47843 2017-11-25.9760106 bo 1.45 16.282 13.426 0.016 15.474 0.224 g
2458083.47964 2017-11-25.9772210 bo 1.44 16.282 13.471 0.016 14.850 0.225 g
2458083.73520 2017-11-26.2327895 bk 1.43 16.371 13.750 0.020 11.481 0.206 g
2458083.73643 2017-11-26.2340189 bk 1.39 16.476 13.762 0.018 11.351 0.187 g
2458083.73764 2017-11-26.2352305 bk 1.47 16.511 13.726 0.017 11.742 0.181 g
#2458084.45240 2017-11-26.9500158 bo 1.48 99.990 99.990 99.990 99.990 99.990 g
2458084.45361 2017-11-26.9512263 bo 1.44 16.288 13.397 0.015 15.892 0.226 g
2458084.45483 2017-11-26.9524390 bo 1.48 16.216 13.537 0.019 13.964 0.238 g
2458084.69932 2017-11-27.1969386 bk 1.46 16.379 13.732 0.019 11.681 0.205 g
2458084.70055 2017-11-27.1981704 bk 1.44 16.403 13.740 0.019 11.587 0.200 g
2458084.70177 2017-11-27.1993888 bk 1.43 16.385 13.754 0.019 11.443 0.203 g
2458085.42714 2017-11-27.9247782 bo 1.61 16.083 13.323 0.017 17.008 0.270 g
2458085.42834 2017-11-27.9259871 bo 1.62 16.155 13.385 0.017 16.068 0.252 g
2458085.42956 2017-11-27.9272033 bo 1.61 16.304 13.319 0.014 17.079 0.221 g
2458085.68137 2017-11-28.1790270 bk 1.44 16.369 13.718 0.019 11.829 0.207 g
2458085.68259 2017-11-28.1802479 bk 1.51 16.376 13.742 0.019 11.572 0.205 g
2458085.68381 2017-11-28.1814635 bk 1.46 16.391 13.765 0.020 11.329 0.202 g
2458085.80554 2017-11-28.3031936 bg 1.44 15.439 12.914 0.021 26.208 0.515 V
2458085.80679 2017-11-28.3044473 bg 1.42 15.443 12.896 0.021 26.635 0.512 V
2458085.80806 2017-11-28.3057138 bg 1.44 15.499 12.901 0.020 26.513 0.488 V
2458086.64670 2017-11-29.1443840 bg 1.38 15.502 13.006 0.022 24.073 0.486 V
2458086.64797 2017-11-29.1456607 bg 1.37 15.346 12.999 0.025 24.216 0.560 V
2458086.64924 2017-11-29.1469231 bg 1.35 15.453 12.945 0.022 25.452 0.509 V
#2458089.74787 2017-12-02.2456716 bg 1.83 99.990 99.990 99.990 99.990 99.990 V
2458089.74915 2017-12-02.2469422 bg 1.32 15.019 12.908 0.031 26.346 0.760 V
2458089.75041 2017-12-02.2482094 bg 1.39 15.345 12.928 0.025 25.861 0.574 V
2458091.54146 2017-12-04.0393214 bg 1.50 15.214 12.917 0.027 26.122 0.633 V
2458091.54273 2017-12-04.0405932 bg 1.46 15.339 12.894 0.023 26.680 0.566 V
2458091.54400 2017-12-04.0418623 bg 1.47 15.411 12.949 0.023 25.367 0.528 V
2458094.68603 2017-12-07.1840108 bg 1.41 15.499 12.924 0.020 25.977 0.487 V
2458094.68730 2017-12-07.1852797 bg 1.41 15.324 12.964 0.025 25.016 0.571 V
2458094.68857 2017-12-07.1865516 bg 1.38 15.311 12.930 0.025 25.827 0.579 V
2458095.40459 2017-12-07.9026115 bo 2.49 16.012 12.990 0.015 23.130 0.313 g
2458096.43212 2017-12-08.9301745 bo 1.43 16.276 13.367 0.015 16.346 0.226 g
2458096.43333 2017-12-08.9313804 bo 1.47 16.237 13.377 0.016 16.201 0.234 g
2458096.43453 2017-12-08.9325841 bo 1.41 16.215 13.401 0.016 15.831 0.239 g
2458096.61776 2017-12-09.1158241 bg 1.42 15.462 12.913 0.021 26.215 0.503 V
2458096.61903 2017-12-09.1170925 bg 1.42 15.405 12.983 0.024 24.586 0.531 V
2458096.62030 2017-12-09.1183581 bg 1.43 15.417 12.944 0.023 25.471 0.526 V
2458097.45646 2017-12-09.9545545 bo 1.47 16.245 13.228 0.014 18.570 0.232 g
2458097.45768 2017-12-09.9557707 bo 1.51 16.200 13.252 0.014 18.172 0.243 g
2458097.45888 2017-12-09.9569797 bo 1.55 16.046 13.245 0.017 18.277 0.279 g
#2458099.46371 2017-12-11.9618901 bo 2.03 99.990 99.990 99.990 99.990 99.990 g
2458099.46492 2017-12-11.9630937 bo 2.02 16.160 13.314 0.017 17.145 0.261 g
2458099.46612 2017-12-11.9643 bo 2.07 16.174 13.112 0.013 20.671 0.255 g
2458100.44992 2017-12-12.9481423 bo 1.46 16.153 13.285 0.016 17.624 0.253 g
2458100.45113 2017-12-12.9493517 bo 1.49 16.184 13.362 0.016 16.421 0.246 g
2458100.45233 2017-12-12.9505545 bo 1.41 16.299 13.368 0.015 16.333 0.221 g
2458100.58628 2017-12-13.0845083 bk 1.42 13.796 12.429 0.063 38.762 2.203 g
2458100.58749 2017-12-13.0857187 bk 1.43 14.436 12.942 0.056 24.185 1.224 g
2458100.58871 2017-12-13.0869385 bk 1.39 14.713 13.191 0.054 19.231 0.947 g
2458101.58283 2017-12-14.0811033 bk 1.42 16.452 13.765 0.018 11.330 0.191 g
2458101.58405 2017-12-14.0823184 bk 1.41 16.559 13.737 0.016 11.613 0.174 g
2458101.58527 2017-12-14.0835378 bk 1.44 16.439 13.732 0.018 11.673 0.194 g
2458102.43200 2017-12-14.9303103 bo 1.46 16.218 13.416 0.017 15.624 0.238 g
2458102.43321 2017-12-14.9315168 bo 1.42 16.330 13.356 0.014 16.511 0.215 g
2458102.43441 2017-12-14.9327189 bo 1.43 16.168 13.290 0.015 17.529 0.250 g
2458103.42372 2017-12-15.9220686 bo 1.63 16.219 13.332 0.015 16.874 0.240 g
2458103.42493 2017-12-15.9232758 bo 1.64 16.164 13.272 0.015 17.829 0.252 g
2458103.42613 2017-12-15.9244824 bo 1.70 16.234 13.345 0.015 16.681 0.237 g
2458103.58370 2017-12-16.0820633 bk 1.52 16.453 13.759 0.018 11.388 0.191 g
2458103.58493 2017-12-16.0832856 bk 1.47 16.449 13.749 0.018 11.494 0.192 g
2458103.58615 2017-12-16.0845056 bk 1.52 16.447 13.758 0.018 11.400 0.192 g
2458104.42568 2017-12-16.9240738 bo 1.54 16.188 13.283 0.015 17.651 0.244 g
2458104.42689 2017-12-16.9252825 bo 1.58 16.195 13.283 0.015 17.660 0.243 g
2458104.42816 2017-12-16.9265616 bo 1.59 16.241 13.239 0.014 18.387 0.233 g
2458104.60645 2017-12-17.1048644 bk 1.57 16.536 13.839 0.018 10.578 0.177 g
2458104.60768 2017-12-17.1060929 bk 1.46 16.486 13.768 0.018 11.290 0.186 g
2458104.60891 2017-12-17.1073174 bk 1.57 16.435 13.747 0.018 11.513 0.195 g
2458105.60296 2017-12-18.1014065 bk 1.49 16.551 13.796 0.017 11.011 0.175 g
2458105.60417 2017-12-18.1026221 bk 1.47 16.599 13.799 0.017 10.976 0.167 g
2458105.60539 2017-12-18.1038391 bk 1.47 16.461 13.772 0.018 11.255 0.190 g
2458106.41494 2017-12-18.9134297 bo 1.61 16.167 13.163 0.014 19.706 0.250 g
2458106.60673 2017-12-19.1052252 bk 1.52 12.125 10.815 0.066 171.376 10.267 g
2458106.60795 2017-12-19.1064408 bk 1.49 12.138 10.638 0.055 201.671 10.173 g
2458106.60916 2017-12-19.1076599 bk 1.51 12.328 10.955 0.062 150.775 8.555 g
2458107.40910 2017-12-19.9076366 bo 1.47 16.229 13.350 0.015 16.593 0.236 g
#2458107.41032 2017-12-19.9088562 bo 1.45 99.990 99.990 99.990 99.990 99.990 g
#2458107.41155 2017-12-19.9100802 bo 1.44 99.990 99.990 99.990 99.990 99.990 g
2458107.60368 2017-12-20.1022188 bk 1.43 16.581 13.736 0.016 11.639 0.170 g
2458107.60490 2017-12-20.1034469 bk 1.40 16.492 13.757 0.018 11.415 0.184 g
2458107.60614 2017-12-20.1046785 bk 1.43 16.466 13.725 0.018 11.749 0.189 g
2458108.41497 2017-12-20.9135523 bo 1.72 16.118 13.230 0.015 18.532 0.264 g
2458108.41619 2017-12-20.9147687 bo 1.94 16.096 13.195 0.015 19.136 0.270 g
2458108.41739 2017-12-20.9159734 bo 1.79 16.186 13.270 0.015 17.866 0.248 g
2458108.60013 2017-12-21.0987240 bk 1.61 16.410 13.695 0.018 12.085 0.199 g
2458108.60135 2017-12-21.0999443 bk 1.64 16.428 13.631 0.017 12.817 0.196 g
2458108.60257 2017-12-21.1011634 bk 1.60 16.377 13.651 0.018 12.582 0.205 g
2458109.60398 2017-12-22.1026178 bk 1.83 16.364 13.503 0.016 14.410 0.208 g
2458109.60520 2017-12-22.1038387 bk 1.67 16.364 13.509 0.016 14.324 0.208 g
2458109.60643 2017-12-22.1050665 bk 1.78 16.324 13.616 0.018 12.995 0.215 g
2458110.57504 2017-12-23.0737251 bk 1.43 16.362 13.742 0.020 11.568 0.208 g
2458110.57627 2017-12-23.0749520 bk 1.43 16.434 13.705 0.018 11.963 0.195 g
2458110.57749 2017-12-23.0761728 bk 1.48 16.414 13.766 0.019 11.305 0.198 g
2458112.38380 2017-12-24.8825690 bo 1.49 16.139 13.305 0.016 17.295 0.257 g
#2458112.38501 2017-12-24.8837856 bo 1.48 99.990 99.990 99.990 99.990 99.990 g
2458112.38623 2017-12-24.8850015 bo 1.63 16.117 13.290 0.016 17.526 0.263 g
2458113.36050 2017-12-25.8593222 bo 1.50 16.167 13.306 0.016 17.288 0.250 g
2458113.36172 2017-12-25.8605319 bo 1.45 16.019 13.317 0.018 17.111 0.286 g
#2458113.36365 2017-12-25.8624753 bo 1.49 99.990 99.990 99.990 99.990 99.990 g
2458117.53971 2017-12-30.0387344 bg 1.34 15.365 12.902 0.023 26.513 0.552 V
2458117.54113 2017-12-30.0401651 bg 1.34 15.603 12.938 0.019 25.637 0.444 V
2458117.54247 2017-12-30.0414946 bg 1.37 15.260 12.938 0.026 25.625 0.607 V
2458118.32334 2017-12-30.8224090 bo 1.51 15.969 13.310 0.019 17.213 0.300 g
2458118.32455 2017-12-30.8236157 bo 1.49 15.982 13.339 0.019 16.776 0.297 g
2458118.32577 2017-12-30.8248325 bo 1.46 15.934 13.370 0.021 16.299 0.309 g
2458120.43270 2018-01-01.9318740 bo 2.42 15.483 12.841 0.019 26.522 0.478 g
2458120.43392 2018-01-01.9330986 bo 2.42 15.547 12.804 0.019 27.449 0.453 g
2458120.43514 2018-01-01.9343177 bo 2.47 15.426 12.850 0.021 26.310 0.503 g
2458122.43275 2018-01-03.9320290 bo 2.19 15.813 13.090 0.018 21.092 0.353 g
2458122.43396 2018-01-03.9332428 bo 2.20 15.833 13.147 0.020 20.014 0.347 g
2458122.43518 2018-01-03.9344577 bo 2.21 15.801 13.125 0.020 20.429 0.358 g
2458123.41123 2018-01-04.9105593 bo 1.43 16.128 13.375 0.017 16.222 0.259 g
2458123.41244 2018-01-04.9117714 bo 1.44 16.017 13.447 0.021 15.180 0.286 g
2458123.41369 2018-01-04.9130217 bo 1.47 15.978 13.417 0.021 15.600 0.297 g
2458124.40020 2018-01-05.8995811 bo 1.52 16.015 13.255 0.017 18.121 0.288 g
2458124.40142 2018-01-05.9008019 bo 1.49 16.001 13.253 0.017 18.144 0.291 g
2458124.40264 2018-01-05.9020219 bo 1.52 16.154 13.284 0.016 17.628 0.253 g
2458124.56153 2018-01-06.0609225 bk 1.42 16.370 13.769 0.020 11.285 0.206 g
2458124.56276 2018-01-06.0621456 bk 1.44 16.458 13.712 0.018 11.888 0.191 g
2458124.56397 2018-01-06.0633628 bk 1.45 16.484 13.775 0.018 11.214 0.186 g
2458125.40504 2018-01-06.9044782 bo 1.44 16.329 13.280 0.013 17.703 0.216 g
2458125.40626 2018-01-06.9056969 bo 1.46 16.014 13.322 0.018 17.024 0.287 g
2458125.40746 2018-01-06.9069049 bo 1.47 16.200 13.293 0.015 17.487 0.242 g
2458125.57622 2018-01-07.0756562 bk 1.41 16.407 13.740 0.019 11.590 0.200 g
2458125.57743 2018-01-07.0768747 bk 1.38 16.410 13.834 0.020 10.622 0.199 g
2458125.57866 2018-01-07.0780946 bk 1.38 16.460 13.744 0.018 11.554 0.191 g
2458127.57222 2018-01-09.0717651 bk 1.43 16.388 13.780 0.020 11.168 0.203 g
2458127.57344 2018-01-09.0729893 bk 1.41 16.407 13.771 0.019 11.258 0.200 g
2458127.57467 2018-01-09.0742122 bk 1.59 16.435 13.814 0.020 10.824 0.195 g
2458128.56858 2018-01-10.0681723 bk 1.44 16.403 13.863 0.021 10.342 0.200 g
2458128.56980 2018-01-10.0693953 bk 1.36 16.380 13.820 0.021 10.762 0.204 g
2458128.57102 2018-01-10.0706164 bk 1.41 16.427 13.849 0.020 10.475 0.196 g
2458129.55770 2018-01-11.0573562 bk 1.39 16.414 13.743 0.019 11.553 0.198 g
2458129.55893 2018-01-11.0585782 bk 1.40 16.336 13.839 0.022 10.578 0.213 g
2458129.56015 2018-01-11.0597954 bk 1.46 16.503 13.837 0.019 10.601 0.183 g
2458130.55748 2018-01-12.0571833 bk 1.47 14.714 12.209 0.022 47.480 0.948 g
2458130.55869 2018-01-12.0584027 bk 1.49 14.518 12.445 0.033 38.184 1.133 g
2458130.55991 2018-01-12.0596174 bk 1.45 14.449 12.142 0.026 50.488 1.209 g
2458132.55708 2018-01-14.0568856 bk 1.44 16.386 13.812 0.020 10.844 0.203 g
2458132.55830 2018-01-14.0581074 bk 1.39 16.334 13.754 0.020 11.447 0.213 g
2458132.55952 2018-01-14.0593233 bk 1.41 16.410 13.781 0.019 11.156 0.199 g
2458133.56424 2018-01-15.0641038 bk 1.46 16.460 13.757 0.018 11.412 0.190 g
2458133.56546 2018-01-15.0653187 bk 1.45 16.438 13.721 0.018 11.796 0.194 g
2458133.56668 2018-01-15.0665373 bk 1.49 16.385 13.781 0.020 11.169 0.204 g
2458134.56033 2018-01-16.0602461 bk 1.43 16.317 13.760 0.021 11.381 0.217 g
2458134.56155 2018-01-16.0614657 bk 1.45 16.374 13.774 0.020 11.231 0.205 g
2458134.56279 2018-01-16.0627006 bk 1.53 16.471 13.795 0.019 11.018 0.188 g
2458137.55204 2018-01-19.0521218 bk 1.49 16.386 13.805 0.020 10.916 0.204 g
2458137.55327 2018-01-19.0533449 bk 1.44 16.482 13.772 0.018 11.257 0.187 g
2458137.55449 2018-01-19.0545677 bk 1.44 16.324 13.761 0.021 11.361 0.216 g
2458146.64496 2018-01-28.1455185 bg 1.66 15.403 12.890 0.022 26.784 0.533 V
2458146.64623 2018-01-28.1467878 bg 1.70 15.420 12.938 0.022 25.643 0.524 V
2458146.64749 2018-01-28.1480506 bg 1.53 15.258 12.961 0.026 25.077 0.607 V
2458153.63551 2018-02-04.1364299 bk 1.47 16.032 13.845 0.029 10.520 0.281 g
2458153.63673 2018-02-04.1376496 bk 1.53 16.179 13.802 0.025 10.949 0.246 g
2458153.63796 2018-02-04.1388785 bk 1.52 16.104 13.873 0.028 10.257 0.263 g
2458153.64250 2018-02-04.1434150 bg 1.36 15.273 12.814 0.023 28.753 0.601 V
2458153.64379 2018-02-04.1447070 bg 1.34 15.192 12.965 0.028 24.994 0.646 V
2458153.64507 2018-02-04.1459878 bg 1.38 15.291 12.844 0.023 27.962 0.590 V
2458157.62387 2018-02-08.1249892 bg 1.43 15.399 12.862 0.021 27.488 0.534 V
2458157.62514 2018-02-08.1262671 bg 1.42 15.427 12.902 0.021 26.482 0.520 V
2458157.62641 2018-02-08.1275298 bg 1.44 15.408 12.856 0.021 27.648 0.529 V
2458159.61839 2018-02-10.1196103 bg 1.38 15.379 12.857 0.022 27.596 0.544 V
2458159.61967 2018-02-10.1208883 bg 1.39 15.331 12.820 0.022 28.570 0.569 V
2458159.62095 2018-02-10.1221657 bg 1.39 15.356 12.880 0.022 27.042 0.555 V
2458161.56717 2018-02-12.0684924 bg 1.36 15.360 12.860 0.022 27.533 0.554 V
2458161.56843 2018-02-12.0697549 bg 1.37 15.344 12.820 0.021 28.567 0.562 V
2458161.56971 2018-02-12.0710215 bg 1.39 15.320 12.708 0.020 31.661 0.574 V
2458163.58508 2018-02-14.0864934 bg 1.38 15.384 12.861 0.021 27.509 0.542 V
2458163.58635 2018-02-14.0877557 bg 1.38 15.328 12.776 0.021 29.758 0.571 V
2458163.58763 2018-02-14.0890432 bg 1.37 15.371 12.835 0.021 28.164 0.549 V
2458166.59436 2018-02-17.0959157 bk 1.47 16.281 13.791 0.022 11.062 0.224 g
2458166.59649 2018-02-17.0980417 bk 1.44 16.233 13.779 0.023 11.178 0.234 g
2458167.59399 2018-02-18.0955811 bk 1.43 16.335 13.891 0.023 10.086 0.213 g
2458167.59520 2018-02-18.0967978 bk 1.45 16.418 13.747 0.019 11.515 0.198 g
2458167.59642 2018-02-18.0980167 bk 1.43 16.297 13.773 0.021 11.243 0.221 g
2458168.57822 2018-02-19.0798609 bk 1.41 16.325 13.744 0.020 11.553 0.215 g
2458168.57943 2018-02-19.0810731 bk 1.42 16.324 13.745 0.020 11.536 0.216 g
2458168.58065 2018-02-19.0822946 bk 1.43 16.279 13.831 0.023 10.661 0.224 g
2458170.57998 2018-02-21.0817063 bg 1.44 15.301 12.873 0.023 27.218 0.584 V
2458170.58124 2018-02-21.0829718 bg 1.40 15.364 12.820 0.021 28.559 0.552 V
2458170.58252 2018-02-21.0842450 bg 1.40 15.409 12.861 0.021 27.508 0.530 V
2458172.55854 2018-02-23.0603524 bg 1.35 15.453 12.862 0.020 27.486 0.508 V
2458172.55982 2018-02-23.0616380 bg 1.36 15.348 12.904 0.023 26.439 0.559 V
2458172.56110 2018-02-23.0629134 bg 1.37 15.594 12.858 0.018 27.588 0.448 V
2458173.56934 2018-02-24.0711995 bg 1.40 15.338 12.833 0.022 28.228 0.566 V
2458173.57062 2018-02-24.0724789 bg 1.34 15.301 12.901 0.024 26.505 0.583 V
2458173.57189 2018-02-24.0737511 bg 1.40 15.290 12.812 0.022 28.792 0.592 V
2458174.57230 2018-02-25.0742006 bg 1.42 15.429 12.815 0.020 28.713 0.521 V
2458174.57358 2018-02-25.0754799 bg 1.45 15.214 12.945 0.027 25.476 0.633 V
2458174.57487 2018-02-25.0767666 bg 1.51 15.380 12.840 0.021 28.051 0.543 V
2458175.55604 2018-02-26.0579807 bg 1.39 15.159 12.812 0.025 28.793 0.664 V
2458175.55731 2018-02-26.0592523 bg 1.42 15.272 12.865 0.024 27.392 0.600 V
2458175.55857 2018-02-26.0605160 bg 1.42 15.468 12.848 0.020 27.854 0.502 V
2458176.54369 2018-02-27.0456759 bg 1.40 15.297 12.844 0.023 27.960 0.587 V
2458176.54499 2018-02-27.0469645 bg 1.40 15.233 12.754 0.022 30.361 0.624 V
2458176.54626 2018-02-27.0482390 bg 1.39 15.216 12.897 0.026 26.605 0.631 V
2458178.56490 2018-03-01.0669644 bg 1.51 14.983 12.771 0.029 29.884 0.783 V
2458178.56616 2018-03-01.0682295 bg 1.53 15.042 12.756 0.027 30.309 0.743 V
2458178.56743 2018-03-01.0694916 bg 1.50 14.999 12.916 0.032 26.155 0.772 V
2458179.30733 2018-03-01.8094262 bo 1.64 15.628 13.237 0.024 18.434 0.409 g
2458179.30856 2018-03-01.8106445 bo 1.55 15.760 13.226 0.021 18.600 0.363 g
2458179.30981 2018-03-01.8118973 bo 1.51 15.511 13.340 0.030 16.747 0.456 g
2458179.56044 2018-03-02.0625407 bg 1.41 15.092 12.869 0.028 27.289 0.709 V
2458179.56172 2018-03-02.0638225 bg 1.36 15.255 12.944 0.026 25.479 0.614 V
2458179.56300 2018-03-02.0650962 bg 1.40 15.133 12.981 0.030 24.633 0.682 V
2458181.54884 2018-03-04.0510170 bk 1.52 16.079 13.858 0.028 10.399 0.270 g
2458181.55006 2018-03-04.0522342 bk 1.57 16.196 13.808 0.024 10.885 0.242 g
2458181.55128 2018-03-04.0534513 bk 1.46 16.090 13.758 0.026 11.404 0.267 g
2458182.53678 2018-03-05.0389918 bk 1.47 16.279 13.717 0.021 11.844 0.225 g
2458182.53800 2018-03-05.0402114 bk 1.48 16.281 13.729 0.021 11.710 0.224 g
2458182.53922 2018-03-05.0414289 bk 1.53 16.311 13.681 0.019 12.232 0.218 g
2458184.53859 2018-03-07.0408803 bk 1.73 16.342 13.755 0.020 11.424 0.214 g
2458184.53981 2018-03-07.0420981 bk 1.69 16.254 13.737 0.022 11.614 0.231 g
2458184.54104 2018-03-07.0433217 bk 1.62 16.285 13.753 0.021 11.455 0.225 g
2458186.53091 2018-03-09.0332650 bg 1.38 15.575 12.795 0.017 29.223 0.456 V
2458186.53218 2018-03-09.0345405 bg 1.42 15.444 12.834 0.020 28.203 0.513 V
2458186.53346 2018-03-09.0358175 bg 1.37 15.374 12.766 0.020 30.022 0.546 V
2458189.52671 2018-03-12.0291571 bk 1.60 16.333 13.588 0.018 13.324 0.215 g
2458189.52792 2018-03-12.0303712 bk 1.63 16.238 13.593 0.019 13.270 0.234 g
2458189.52915 2018-03-12.0316031 bk 1.63 16.335 13.588 0.017 13.324 0.214 g
2458191.52268 2018-03-14.0251938 bg 1.37 15.347 12.876 0.023 27.140 0.560 V
2458191.52395 2018-03-14.0264660 bg 1.36 15.401 12.819 0.020 28.578 0.533 V
2458191.52523 2018-03-14.0277445 bg 1.36 15.274 12.916 0.025 26.157 0.598 V
2458192.51770 2018-03-15.0202450 bg 1.41 15.422 12.865 0.021 27.400 0.523 V
2458192.51897 2018-03-15.0215182 bg 1.39 15.333 12.865 0.023 27.419 0.567 V
2458192.52025 2018-03-15.0227928 bg 1.38 15.495 12.787 0.018 29.449 0.490 V
2458193.51686 2018-03-16.0194309 bg 1.36 15.392 12.800 0.020 29.105 0.538 V
2458193.51812 2018-03-16.0206916 bg 1.36 15.305 12.882 0.024 26.985 0.582 V
2458193.51939 2018-03-16.0219679 bg 1.33 15.336 12.842 0.022 27.983 0.566 V
2458194.51204 2018-03-17.0146370 bg 1.38 15.352 12.838 0.022 28.098 0.557 V
2458194.51330 2018-03-17.0159039 bg 1.38 15.333 12.936 0.024 25.676 0.568 V
2458194.51457 2018-03-17.0171748 bg 1.36 15.392 12.849 0.021 27.810 0.538 V
2458195.51129 2018-03-18.0139182 bg 1.39 15.385 12.850 0.021 27.808 0.540 V
2458195.51257 2018-03-18.0151918 bg 1.42 15.340 12.815 0.021 28.688 0.564 V
2458195.51383 2018-03-18.0164620 bg 1.43 15.313 12.843 0.023 27.970 0.578 V
2458196.23752 2018-03-18.7401734 bo 1.71 15.710 13.252 0.023 18.161 0.381 g
2458196.23874 2018-03-18.7413901 bo 1.76 15.830 13.257 0.021 18.082 0.341 g
2458196.23995 2018-03-18.7425951 bo 1.64 15.884 13.231 0.019 18.512 0.325 g
2458197.23655 2018-03-19.7392287 bo 1.71 15.739 13.253 0.022 18.164 0.371 g
2458197.23777 2018-03-19.7404454 bo 1.82 15.893 13.214 0.019 18.800 0.323 g
2458197.23897 2018-03-19.7416512 bo 1.74 15.855 13.209 0.019 18.909 0.336 g
2458197.50487 2018-03-20.0075502 bk 1.60 16.277 13.719 0.021 11.809 0.225 g
2458197.50608 2018-03-20.0087637 bk 1.61 16.262 13.707 0.021 11.950 0.228 g
2458197.50730 2018-03-20.0099822 bk 1.63 16.286 13.684 0.020 12.201 0.224 g
2458198.23559 2018-03-20.7382910 bo 1.62 15.705 13.290 0.024 17.540 0.382 g
2458198.23681 2018-03-20.7395092 bo 1.64 15.688 13.301 0.024 17.371 0.388 g
2458198.23803 2018-03-20.7407254 bo 1.59 15.893 13.287 0.020 17.597 0.322 g
2458199.49585 2018-03-21.9985807 bk 1.74 16.168 13.640 0.021 12.701 0.250 g
2458199.49707 2018-03-21.9998037 bk 1.76 16.122 13.547 0.020 13.847 0.261 g
2458199.49830 2018-03-22.0010319 bk 1.79 16.241 13.596 0.019 13.230 0.234 g
2458200.23746 2018-03-22.7402048 bo 1.52 15.906 13.346 0.021 16.659 0.317 g
2458200.23866 2018-03-22.7414107 bo 1.48 15.943 13.326 0.020 16.968 0.307 g
2458200.23987 2018-03-22.7426178 bo 1.46 15.890 13.304 0.020 17.315 0.322 g
2458200.49474 2018-03-22.9974932 bk 2.01 16.033 13.586 0.023 13.356 0.284 g
2458200.49596 2018-03-22.9987178 bk 2.01 16.101 13.536 0.021 13.979 0.268 g
2458200.49718 2018-03-22.9999372 bk 2.02 16.141 13.513 0.020 14.285 0.258 g
2458203.48831 2018-03-25.9911270 bk 2.08 15.834 13.597 0.028 13.228 0.341 g
2458203.48953 2018-03-25.9923475 bk 2.01 16.024 13.621 0.024 12.937 0.286 g
2458203.49075 2018-03-25.9935680 bk 2.03 15.949 13.584 0.025 13.387 0.306 g
2458206.47956 2018-03-28.9824344 bk 1.99 15.681 13.691 0.035 12.125 0.390 g
2458206.48078 2018-03-28.9836559 bk 1.70 15.311 13.804 0.055 10.925 0.547 g
2458207.47993 2018-03-29.9828282 bk 1.86 15.459 13.758 0.046 11.404 0.477 g
2458275.93974 2018-06-06.4418055 bk 1.43 13.790 12.296 0.057 43.785 2.244 g
2458275.94096 2018-06-06.4430263 bk 1.57 12.617 11.253 0.063 114.535 6.570 g
#2458275.94218 2018-06-06.4442450 bk 1.89 99.990 99.990 99.990 99.990 99.990 g
2458282.92841 2018-06-13.4301920 bk 1.43 16.050 13.642 0.024 12.677 0.277 g
2458282.92963 2018-06-13.4314127 bk 1.45 16.179 13.657 0.022 12.502 0.246 g
2458282.93085 2018-06-13.4326324 bk 1.47 16.115 13.653 0.023 12.561 0.261 g
2458286.93171 2018-06-17.4333229 bk 1.44 16.117 13.720 0.024 11.812 0.260 g
2458286.93294 2018-06-17.4345456 bk 1.42 16.196 13.759 0.023 11.385 0.242 g
2458286.93415 2018-06-17.4357618 bk 1.43 16.210 13.706 0.022 11.962 0.239 g
