HJD MAG_4 MAG_0 MAG_1 MAG_2 MAG_3 MER_4 MER_0 MER_1 MER_2 MER_3 GRADE FRAME
2892.86407 4.929 5.203 5.032 4.981 4.939 0.025 0.034 0.026 0.024 0.023 A 70773
2894.78753 4.884 4.812 4.796 4.856 4.878 0.026 0.031 0.035 0.027 0.025 A 71137
2896.77507 4.898 4.948 4.874 4.89 4.886 0.027 0.029 0.029 0.025 0.026 A 71530
2898.77453 4.654 4.757 4.588 4.614 4.631 0.036 0.032 0.036 0.032 0.035 A 71926
2900.77172 4.631 4.754 4.589 4.608 4.617 0.028 0.029 0.034 0.031 0.029 A 72281
2906.77828 4.633 4.722 4.581 4.612 4.625 0.022 0.027 0.033 0.023 0.024 A 73236
2909.75817 4.813 5.03 4.91 4.865 4.82 0.047 0.043 0.043 0.043 0.045 B 73645
2911.74334 4.617 4.669 4.539 4.572 4.588 0.027 0.031 0.039 0.032 0.029 A 73959
2913.72801 4.571 4.943 4.772 4.666 4.58 0.046 0.039 0.043 0.039 0.043 B 74304
2916.68081 4.621 4.722 4.574 4.608 4.615 0.026 0.029 0.049 0.03 0.031 B 74595
2918.72902 4.753 4.917 4.877 4.79 4.769 0.045 0.038 0.034 0.034 0.038 B 74928
2921.8214 4.932 4.972 4.917 4.937 4.924 0.04 0.04 0.033 0.031 0.036 A 75156
2921.8214 7.024 9.688 9.237 8.597 7.856 0.04 0.04 0.033 0.031 0.036 A 75156
2923.75245 4.65 4.905 4.692 4.67 4.644 0.027 0.029 0.03 0.024 0.025 A 75506
2928.76935 4.651 4.863 4.688 4.676 4.656 0.026 0.026 0.03 0.023 0.024 A 76246
2930.76446 4.651 4.883 4.685 4.669 4.652 0.024 0.028 0.033 0.022 0.022 A 76592
#2932.76037 29.999 29.999 29.999 29.999 29.999 0.024 0.026 0.026 0.022 0.025 C 76947
2934.75606 4.676 4.965 4.761 4.722 4.676 0.024 0.029 0.028 0.021 0.021 A 77298
2937.67774 4.663 4.846 4.675 4.67 4.657 0.025 0.027 0.032 0.023 0.023 A 77720
#2940.72883 29.999 29.999 29.999 29.999 29.999 0.023 0.025 0.026 0.021 0.022 C 78041
2942.69428 4.856 4.883 4.837 4.858 4.86 0.024 0.026 0.028 0.021 0.023 A 78225
2944.69467 4.62 4.877 4.668 4.633 4.608 0.03 0.03 0.031 0.026 0.027 A 78550
2946.68912 4.64 4.744 4.612 4.639 4.638 0.023 0.025 0.029 0.022 0.023 A 78849
2948.73749 4.683 5.004 4.774 4.728 4.688 0.026 0.039 0.033 0.023 0.023 A 79152
2950.69265 4.615 4.784 4.694 4.667 4.625 0.027 0.032 0.027 0.022 0.024 A 79466
2954.73137 4.647 4.799 4.743 4.696 4.658 0.03 0.03 0.031 0.025 0.026 A 79979
2956.73011 4.634 4.881 4.72 4.67 4.638 0.029 0.032 0.03 0.026 0.026 A 80273
2958.76433 4.615 4.872 4.774 4.702 4.635 0.026 0.028 0.027 0.023 0.024 A 80573
#2960.72233 4.265 4.347 4.234 4.253 4.261 0.056 0.055 0.048 0.047 0.054 D 80812
2961.61367 4.633 4.836 4.699 4.665 4.637 0.043 0.036 0.041 0.042 0.042 B 80912
2963.66473 4.617 4.799 4.73 4.669 4.625 0.029 0.029 0.028 0.023 0.026 A 81210
2965.68978 4.697 4.964 4.873 4.761 4.715 0.026 0.031 0.027 0.023 0.024 A 81505
2967.66653 4.444 4.642 4.654 4.555 4.485 0.053 0.045 0.048 0.044 0.048 B 81779
2969.65388 4.642 4.874 4.816 4.704 4.664 0.028 0.034 0.027 0.024 0.025 A 82057
#2971.73085 4.915 5.165 5.04 4.965 4.925 0.079 0.075 0.077 0.077 0.078 D 82282
2974.58657 4.675 4.969 4.81 4.719 4.689 0.027 0.029 0.025 0.023 0.024 A 82562
2976.63486 4.65 4.88 4.793 4.727 4.662 0.028 0.034 0.033 0.026 0.026 A 82850
2978.65088 4.644 4.879 4.756 4.703 4.654 0.029 0.033 0.026 0.024 0.026 A 83133
2979.66663 4.699 4.966 4.835 4.758 4.708 0.028 0.035 0.034 0.028 0.034 A 83266
2980.67014 4.745 4.986 4.917 4.807 4.766 0.029 0.029 0.028 0.025 0.026 A 83389
2982.67471 4.714 4.929 4.83 4.76 4.72 0.038 0.03 0.031 0.029 0.033 A 83663
2983.71434 4.732 4.991 4.811 4.768 4.738 0.035 0.036 0.038 0.032 0.039 A 83807
2984.67441 4.738 4.988 4.885 4.803 4.748 0.027 0.027 0.025 0.022 0.024 A 83920
2988.74863 4.747 5.061 4.902 4.805 4.76 0.032 0.032 0.027 0.026 0.028 A 84431
2990.69332 4.727 5.012 4.83 4.775 4.734 0.028 0.034 0.035 0.029 0.033 A 84664
2991.57675 4.619 4.766 4.681 4.651 4.628 0.025 0.03 0.026 0.022 0.023 A 84755
2992.70934 4.712 4.951 4.843 4.759 4.72 0.03 0.036 0.036 0.028 0.033 A 84947
2993.6201 4.747 4.902 4.802 4.775 4.75 0.036 0.038 0.035 0.034 0.035 A 85049
2995.67036 4.734 5.04 4.895 4.815 4.755 0.025 0.032 0.026 0.022 0.023 A 85322
2997.6188 4.695 4.967 4.823 4.732 4.707 0.03 0.037 0.037 0.029 0.034 A 85576
2997.69408 4.734 4.998 4.887 4.792 4.748 0.026 0.029 0.027 0.024 0.025 A 85606
3000.69152 4.715 4.958 4.826 4.764 4.726 0.026 0.027 0.027 0.023 0.024 A 85876
3006.6195 4.741 5.024 4.891 4.793 4.752 0.032 0.037 0.039 0.031 0.037 A 86581
3006.69676 4.775 5.044 4.936 4.843 4.791 0.027 0.027 0.026 0.024 0.024 A 86610
3008.63649 4.622 4.81 4.699 4.648 4.622 0.03 0.038 0.037 0.03 0.035 A 86842
3008.6891 4.717 4.955 4.809 4.772 4.728 0.026 0.028 0.026 0.023 0.023 A 86863
#3010.65372 4.845 5.013 4.955 4.893 4.869 0.105 0.077 0.098 0.1 0.103 D 87117
3010.70601 4.706 4.944 4.857 4.762 4.719 0.033 0.036 0.028 0.027 0.029 A 87136
3012.6579 4.732 5.004 4.809 4.771 4.734 0.035 0.036 0.039 0.033 0.038 A 87382
3012.72914 4.777 4.98 4.904 4.831 4.791 0.035 0.035 0.03 0.029 0.031 A 87408
3016.5858 4.756 5.012 4.857 4.801 4.767 0.042 0.039 0.036 0.034 0.036 A 87723
3018.59727 4.815 5.083 4.91 4.851 4.823 0.036 0.036 0.033 0.033 0.035 A 87999
3023.53971 4.732 4.916 4.83 4.781 4.742 0.027 0.031 0.027 0.024 0.025 A 88261
3025.67572 4.725 5.008 4.872 4.797 4.748 0.033 0.03 0.03 0.027 0.029 A 88441
3029.67758 4.75 5.03 4.889 4.784 4.764 0.03 0.032 0.027 0.024 0.027 A 88648
3034.59035 4.769 5.016 4.858 4.821 4.775 0.027 0.029 0.029 0.024 0.026 A 89118
3035.61015 4.741 4.951 4.855 4.791 4.753 0.034 0.034 0.037 0.03 0.036 A 89243
3036.6342 4.696 5.069 4.845 4.774 4.717 0.028 0.029 0.028 0.024 0.026 A 89360
3040.63466 4.734 4.984 4.865 4.786 4.743 0.035 0.032 0.03 0.027 0.03 A 89594
3045.5751 4.714 5.009 4.797 4.75 4.719 0.031 0.036 0.034 0.029 0.035 A 90172
3045.61485 4.75 4.985 4.846 4.803 4.762 0.028 0.028 0.026 0.024 0.025 A 90187
3048.5634 4.732 4.983 4.861 4.78 4.735 0.037 0.035 0.037 0.031 0.038 A 90572
3048.59767 4.708 4.971 4.823 4.76 4.723 0.034 0.031 0.029 0.028 0.03 A 90584
3051.55839 4.683 4.974 4.863 4.765 4.701 0.033 0.046 0.04 0.033 0.037 A 90965
3051.58216 4.688 4.985 4.826 4.768 4.711 0.036 0.032 0.031 0.031 0.033 A 90974
3054.57368 4.704 4.982 4.839 4.766 4.72 0.026 0.028 0.026 0.023 0.024 A 91383
3056.57224 4.67 4.948 4.751 4.706 4.674 0.042 0.038 0.038 0.037 0.043 B 91657
3056.58806 4.725 4.996 4.869 4.782 4.737 0.037 0.031 0.032 0.031 0.034 A 91663
3059.55339 4.725 4.997 4.87 4.788 4.735 0.036 0.031 0.032 0.031 0.032 A 92053
3061.58306 4.728 5.012 4.877 4.791 4.742 0.025 0.026 0.026 0.022 0.023 A 92339
3067.56099 4.733 5.036 4.965 4.837 4.777 0.029 0.031 0.027 0.025 0.027 A 93020
3070.53792 4.724 4.964 4.865 4.775 4.738 0.032 0.032 0.029 0.027 0.029 A 93449
3073.53556 4.728 4.964 4.818 4.787 4.739 0.031 0.033 0.028 0.025 0.027 A 93839
3076.54598 4.689 4.986 4.822 4.721 4.704 0.028 0.029 0.026 0.024 0.025 A 94243
3079.53378 4.715 4.918 4.824 4.764 4.718 0.039 0.035 0.034 0.032 0.034 A 94680
3082.51967 4.74 4.944 4.853 4.796 4.752 0.026 0.029 0.027 0.023 0.023 A 95120
3086.52432 4.731 4.972 4.884 4.795 4.745 0.037 0.031 0.029 0.027 0.031 A 95414
#3089.50713 99.999 4.896 4.782 99.999 99.999 0.048 0.041 0.04 0.041 0.043 C 95869
3092.498 4.667 4.944 4.813 4.712 4.675 0.044 0.043 0.041 0.041 0.043 B 96331
3096.49845 4.801 5.144 4.944 4.86 4.816 0.028 0.033 0.027 0.024 0.026 A 96607
#3099.49222 4.681 4.959 4.867 4.761 4.705 0.063 0.058 0.055 0.056 0.059 D 97076
3102.48251 4.702 4.93 4.828 4.757 4.716 0.029 0.033 0.027 0.025 0.027 A 97536
#3107.47644 4.68 4.954 4.826 4.738 4.699 0.063 0.042 0.042 0.045 0.053 D 98326
#3168.94183 4.736 4.967 4.841 4.812 4.754 0.054 0.052 0.052 0.049 0.051 D 105856
3179.94127 4.76 5.019 4.876 4.808 4.766 0.039 0.04 0.034 0.035 0.037 A 107305
3183.94236 4.728 4.929 4.82 4.783 4.744 0.034 0.033 0.028 0.026 0.029 A 107760
#3189.93988 4.712 4.995 4.838 4.773 4.725 0.08 0.064 0.072 0.073 0.076 D 108532
3193.94062 4.813 5.064 4.939 4.872 4.826 0.029 0.057 0.04 0.029 0.027 A 108994
3293.76508 4.587 4.659 4.658 4.641 4.623 0.036 0.06 0.049 0.036 0.034 B 118318
3355.78966 4.836 5.169 4.989 4.906 4.848 0.033 0.054 0.033 0.03 0.03 A 124404
3358.60758 4.837 5.242 4.989 4.894 4.848 0.033 0.08 0.042 0.033 0.031 B 124689
3363.68065 4.652 5.062 4.852 4.724 4.663 0.035 0.051 0.032 0.03 0.032 A 124958
3366.76974 4.733 5.117 4.903 4.799 4.746 0.048 0.05 0.036 0.035 0.041 B 125205
3380.54403 4.78 5.152 4.961 4.866 4.798 0.029 0.043 0.03 0.026 0.027 A 125550
3383.69787 4.74 5.172 4.96 4.833 4.756 0.031 0.043 0.029 0.026 0.028 A 125778
3385.70735 4.71 5.046 4.86 4.773 4.721 0.032 0.066 0.033 0.027 0.028 A 126059
3388.56071 4.86 5.278 5.078 4.959 4.881 0.03 0.069 0.032 0.026 0.027 A 126421
3390.60308 4.717 5.032 4.851 4.771 4.727 0.028 0.05 0.029 0.025 0.025 A 126710
3396.5621 4.807 5.15 4.989 4.882 4.819 0.038 0.053 0.04 0.033 0.035 A 127351
3398.60781 4.818 5.23 4.994 4.891 4.83 0.027 0.051 0.027 0.024 0.024 A 127624
3404.59439 4.815 5.212 5.058 4.934 4.842 0.03 0.034 0.027 0.026 0.026 A 128391
3406.59318 4.786 5.184 4.99 4.872 4.805 0.037 0.036 0.03 0.03 0.031 A 128705
3408.59749 4.805 5.189 5.003 4.887 4.823 0.034 0.039 0.029 0.029 0.031 A 129017
3411.54286 4.717 5.096 4.905 4.797 4.731 0.029 0.05 0.03 0.026 0.025 A 129447
3413.58386 4.724 5.103 4.894 4.791 4.745 0.036 0.045 0.034 0.032 0.033 A 129760
3415.56689 4.74 5.072 4.92 4.81 4.757 0.026 0.044 0.028 0.024 0.024 A 130083
3417.58284 4.67 5.031 4.823 4.745 4.684 0.032 0.048 0.03 0.028 0.028 A 130401
3419.58125 4.795 5.227 4.978 4.881 4.815 0.033 0.07 0.039 0.032 0.031 A 130719
3421.60083 4.946 5.294 5.078 5.008 4.961 0.035 0.043 0.03 0.029 0.031 A 131042
3426.56854 4.673 5.103 4.852 4.758 4.689 0.029 0.035 0.026 0.024 0.026 A 131817
3428.58034 4.713 5.144 4.905 4.783 4.728 0.042 0.04 0.036 0.036 0.038 A 132131
3430.58484 4.762 5.127 4.938 4.832 4.773 0.029 0.044 0.027 0.024 0.026 A 132174
#3433.53022 4.834 5.312 4.981 4.882 4.843 0.047 0.092 0.046 0.04 0.042 D 132652
3436.54427 4.787 5.105 4.992 4.887 4.811 0.032 0.037 0.028 0.025 0.027 A 132954
3439.53451 4.96 5.256 5.071 5.003 4.97 0.047 0.052 0.039 0.042 0.044 B 133292
3442.52894 4.815 5.077 5.009 4.919 4.842 0.025 0.037 0.025 0.022 0.021 A 133553
3445.5236 4.715 5.067 4.872 4.789 4.729 0.032 0.037 0.029 0.029 0.029 A 134061
3448.53368 4.838 5.221 5.046 4.926 4.853 0.031 0.048 0.028 0.025 0.027 A 134877
#3451.50484 4.714 5.069 4.871 4.767 4.722 0.052 0.062 0.049 0.046 0.049 D 135379
3454.51269 4.833 5.28 5.058 4.927 4.858 0.033 0.053 0.028 0.026 0.029 A 135781
3456.51643 4.808 5.174 5.011 4.892 4.825 0.032 0.035 0.026 0.025 0.027 A 136135
3459.49698 4.736 5.1 4.915 4.807 4.747 0.031 0.04 0.029 0.027 0.028 A 136667
3461.49958 4.815 5.137 4.972 4.876 4.825 0.048 0.043 0.033 0.034 0.04 B 136998
3464.49252 4.81 5.128 4.963 4.887 4.825 0.032 0.038 0.029 0.027 0.028 A 137441
#3469.47491 4.863 5.216 5.061 4.933 4.877 0.061 0.05 0.04 0.042 0.051 D 138195
#3525.93606 29.999 29.999 29.999 29.999 29.999 0.033 0.051 0.032 0.028 0.029 C 145596
#3529.93943 99.999 5.108 4.956 4.824 4.758 0.04 0.037 0.03 0.03 0.034 C 146296
3543.94061 4.798 5.136 4.975 4.87 4.812 0.034 0.048 0.029 0.027 0.029 A 147648
3547.9435 4.706 5.112 4.893 4.786 4.722 0.042 0.046 0.035 0.032 0.036 A 148140
3552.94371 4.729 5.13 4.969 4.837 4.751 0.028 0.042 0.029 0.026 0.025 A 148570
3558.94425 4.864 5.241 5.052 4.941 4.879 0.034 0.051 0.032 0.028 0.03 A 149325
3562.90094 4.87 5.248 5.017 4.926 4.879 0.036 0.061 0.035 0.03 0.031 A 149988
3569.9427 4.637 4.894 4.804 4.71 4.657 0.027 0.039 0.033 0.024 0.024 A 150679
3573.87379 4.763 5.022 4.922 4.82 4.786 0.03 0.039 0.033 0.025 0.027 A 151191
#3576.92414 29.999 29.999 29.999 29.999 29.999 0.028 0.035 0.028 0.024 0.026 C 151744
3581.93883 4.794 5.162 5.014 4.892 4.813 0.029 0.036 0.026 0.024 0.025 A 152553
3585.86533 4.829 5.305 5.084 4.936 4.858 0.036 0.061 0.036 0.032 0.033 A 153258
#3589.85797 29.999 29.999 29.999 29.999 29.999 0.033 0.048 0.031 0.027 0.03 C 153918
3592.89638 4.826 5.152 4.997 4.904 4.842 0.028 0.038 0.026 0.024 0.025 A 154448
3596.88455 4.794 4.967 4.939 4.869 4.814 0.035 0.045 0.032 0.029 0.031 A 155042
3600.88663 4.708 5.085 4.913 4.786 4.723 0.033 0.045 0.031 0.027 0.029 A 155472
3603.86327 4.694 4.971 4.865 4.778 4.71 0.034 0.049 0.034 0.028 0.029 A 155958
3615.8853 4.763 5.083 4.989 4.867 4.791 0.039 0.042 0.034 0.033 0.035 A 156986
3618.82811 4.709 5.022 4.829 4.756 4.718 0.034 0.061 0.037 0.03 0.03 A 157346
3621.83766 4.771 5.1 4.938 4.846 4.785 0.04 0.079 0.039 0.033 0.035 B 157808
3625.81389 4.71 4.981 4.868 4.798 4.726 0.04 0.045 0.038 0.034 0.036 A 158227
3625.81389 4.797 5.832 5.596 5.248 4.981 0.04 0.045 0.038 0.034 0.036 A 158227
3628.86445 4.605 4.825 4.741 4.679 4.626 0.025 0.036 0.034 0.024 0.023 A 158525
#3631.7644 29.999 29.999 29.999 29.999 29.999 0.033 0.042 0.03 0.026 0.028 C 158997
3633.84222 4.786 5.024 4.929 4.862 4.802 0.029 0.034 0.027 0.023 0.025 A 159283
3636.79798 4.608 4.81 4.72 4.659 4.623 0.032 0.039 0.034 0.027 0.028 A 159636
3639.7626 4.648 4.951 4.813 4.713 4.66 0.037 0.083 0.045 0.037 0.033 B 159979
#3642.75802 29.999 29.999 29.999 29.999 29.999 0.032 0.046 0.039 0.029 0.03 C 160358
#3646.77897 29.999 29.999 29.999 29.999 29.999 0.035 0.038 0.037 0.032 0.033 C 160806
#3649.74512 4.286 4.354 4.275 4.284 4.289 0.078 0.059 0.055 0.058 0.069 D 161208
3651.78819 4.803 5.21 4.998 4.862 4.82 0.026 0.037 0.028 0.023 0.024 A 161499
3654.72009 4.672 5.133 4.892 4.77 4.695 0.041 0.067 0.04 0.037 0.037 A 161908
3656.73974 4.745 5.152 4.962 4.842 4.758 0.031 0.075 0.037 0.029 0.029 A 162211
3658.72791 4.68 5.015 4.826 4.742 4.687 0.03 0.062 0.033 0.028 0.027 A 162503
3660.74186 4.828 5.284 5.021 4.902 4.842 0.036 0.059 0.036 0.031 0.034 A 162815
3662.80141 4.681 5.136 4.902 4.739 4.697 0.044 0.061 0.036 0.032 0.036 A 163121
3665.69671 4.719 5.851 5.42 5.123 4.849 0.03 0.057 0.032 0.025 0.027 A 163523
3668.81845 4.586 4.887 4.745 4.662 4.6 0.024 0.032 0.029 0.022 0.023 A 163885
3671.67582 4.626 4.808 4.752 4.687 4.648 0.026 0.035 0.03 0.023 0.023 A 164270
3673.72382 4.677 4.962 4.889 4.77 4.7 0.026 0.043 0.032 0.024 0.023 A 164574
3676.65838 4.824 5.089 4.965 4.902 4.841 0.033 0.055 0.032 0.028 0.029 A 164982
3680.66944 4.804 5.201 5.009 4.888 4.821 0.026 0.041 0.027 0.022 0.023 A 165359
3699.81906 4.815 5.326 5.092 4.938 4.837 0.034 0.074 0.038 0.03 0.03 A 167964
3702.6529 4.614 5.019 4.828 4.698 4.63 0.039 0.068 0.039 0.032 0.034 A 168304
3704.76406 4.651 4.979 4.795 4.71 4.662 0.025 0.037 0.026 0.022 0.023 A 168613
3707.65917 4.631 4.982 4.772 4.696 4.645 0.026 0.037 0.028 0.023 0.024 A 168989
3711.66206 4.734 5.139 4.907 4.801 4.746 0.027 0.054 0.03 0.024 0.024 A 169271
3713.62452 4.722 5.108 4.916 4.813 4.741 0.031 0.053 0.031 0.027 0.028 A 169534
3715.65775 4.867 5.189 5.028 4.936 4.879 0.041 0.049 0.036 0.033 0.035 A 169833
3717.79223 4.772 5.161 4.955 4.847 4.786 0.035 0.041 0.031 0.028 0.03 A 170132
3720.64738 4.683 5.115 4.836 4.724 4.688 0.04 0.081 0.042 0.036 0.037 B 170440
3722.73728 4.652 5.037 4.805 4.706 4.663 0.035 0.041 0.03 0.027 0.03 A 170729
3725.66204 4.722 5.168 4.952 4.81 4.74 0.035 0.055 0.033 0.031 0.032 A 171010
3727.68077 4.815 5.227 5.023 4.902 4.833 0.038 0.053 0.033 0.03 0.033 A 171290
3730.72004 4.779 5.252 5.013 4.873 4.795 0.039 0.042 0.033 0.032 0.033 A 171578
#3733.72011 4.768 5.274 5.022 4.893 4.794 0.04 0.107 0.036 0.033 0.034 D 171964
3736.65355 4.741 5.087 4.901 4.813 4.758 0.031 0.061 0.035 0.029 0.028 A 172356
#3741.62938 4.793 5.134 4.952 4.855 4.8 0.055 0.044 0.035 0.038 0.046 D 173022
3744.60974 4.684 5.007 4.833 4.748 4.697 0.031 0.05 0.033 0.028 0.029 A 173404
3746.69649 4.711 5.052 4.852 4.776 4.723 0.05 0.042 0.037 0.038 0.043 B 173695
3749.63326 4.789 5.111 4.916 4.852 4.799 0.038 0.038 0.028 0.027 0.032 A 174095
3752.64075 4.698 5.103 4.865 4.77 4.714 0.033 0.048 0.029 0.025 0.028 A 174518
3754.68031 4.693 5.059 4.903 4.772 4.709 0.05 0.037 0.031 0.034 0.041 B 174803
3757.587 4.763 5.129 4.923 4.833 4.773 0.035 0.07 0.037 0.031 0.032 A 175185
3759.64647 4.593 4.971 4.797 4.675 4.612 0.039 0.039 0.031 0.031 0.034 A 175487
3762.59319 4.805 5.132 4.982 4.883 4.824 0.034 0.044 0.03 0.03 0.031 A 175862
3764.66548 4.732 5.085 4.91 4.806 4.743 0.041 0.063 0.037 0.035 0.037 A 176162
3767.57763 4.812 5.231 4.988 4.876 4.819 0.041 0.049 0.035 0.035 0.037 A 176553
#3769.65006 4.785 5.175 4.963 4.862 4.804 0.065 0.067 0.058 0.059 0.062 D 176834
3772.55453 4.631 5.034 4.79 4.707 4.647 0.032 0.049 0.03 0.028 0.028 A 177193
3775.55573 4.731 5.083 4.9 4.805 4.743 0.034 0.04 0.029 0.026 0.028 A 177615
3780.56956 4.846 5.275 5.071 4.937 4.861 0.045 0.048 0.03 0.031 0.037 B 178353
3783.61191 4.727 5.158 4.956 4.794 4.745 0.051 0.077 0.045 0.041 0.044 B 178663
3788.514 4.83 5.212 5.001 4.899 4.845 0.04 0.051 0.036 0.033 0.035 A 178937
3790.59546 4.772 5.209 5.006 4.862 4.789 0.036 0.04 0.032 0.031 0.032 A 179235
3793.56733 4.664 5.094 4.872 4.734 4.678 0.041 0.053 0.035 0.033 0.036 A 179668
3796.53936 4.646 5.013 4.805 4.718 4.658 0.033 0.039 0.03 0.028 0.03 A 180087
3799.53863 4.809 5.155 4.984 4.886 4.822 0.033 0.037 0.029 0.028 0.029 A 180505
3802.53649 4.785 5.185 4.96 4.86 4.797 0.04 0.064 0.036 0.033 0.035 A 180861
3805.53047 4.823 5.191 4.948 4.873 4.835 0.04 0.076 0.037 0.033 0.035 A 181279
3808.55153 4.73 5.093 4.924 4.806 4.751 0.04 0.033 0.03 0.03 0.034 A 181631
3811.51479 4.715 5.14 4.925 4.798 4.732 0.034 0.034 0.027 0.026 0.029 A 182095
3813.52749 4.711 5.113 4.874 4.769 4.721 0.04 0.049 0.036 0.032 0.036 A 182422
3816.51782 4.819 5.169 4.968 4.878 4.827 0.034 0.065 0.036 0.03 0.031 A 182892
3819.50781 4.814 5.202 4.992 4.89 4.829 0.035 0.042 0.028 0.027 0.03 A 183374
3822.49974 4.71 5.144 4.929 4.769 4.726 0.033 0.041 0.027 0.026 0.028 A 183855
#3825.48985 29.999 29.999 29.999 29.999 29.999 0.056 0.078 0.048 0.046 0.05 D 184349
3827.50241 4.757 5.116 4.935 4.834 4.771 0.032 0.042 0.033 0.029 0.03 A 184697
3832.47622 4.726 5.155 4.917 4.802 4.744 0.044 0.074 0.04 0.034 0.039 A 185542
3835.47706 4.826 5.227 5.05 4.91 4.845 0.041 0.037 0.03 0.031 0.035 A 186065
3900.94104 4.799 5.102 4.948 4.863 4.812 0.035 0.038 0.029 0.028 0.03 A 194754
3905.92873 4.728 5.052 4.857 4.784 4.737 0.032 0.037 0.027 0.026 0.027 A 195701
3909.9301 4.639 4.995 4.773 4.701 4.65 0.033 0.055 0.034 0.028 0.029 A 196474
3983.83051 4.634 5.009 4.812 4.71 4.646 0.035 0.041 0.032 0.029 0.032 A 203674
4089.67609 4.801 5.249 4.996 4.869 4.817 0.033 0.076 0.042 0.033 0.031 A 209143
4091.75671 4.775 5.133 4.974 4.881 4.801 0.031 0.053 0.031 0.027 0.028 A 209423
#4104.73663 29.999 29.999 29.999 29.999 29.999 0.044 0.062 0.036 0.033 0.038 C 210732
4107.59307 4.641 5.017 4.771 4.687 4.649 0.025 0.06 0.031 0.024 0.023 A 211085
#4111.59507 4.77 5.232 4.929 4.817 4.779 0.041 0.095 0.049 0.04 0.039 D 211370
4126.56644 4.588 4.932 4.751 4.655 4.597 0.032 0.073 0.038 0.03 0.029 A 211640
4128.58075 4.832 5.154 5.026 4.92 4.849 0.029 0.055 0.032 0.027 0.027 A 211912
4130.60478 4.676 5.066 4.826 4.72 4.678 0.039 0.084 0.046 0.036 0.036 B 212180
4132.60799 4.773 5.199 4.968 4.856 4.789 0.032 0.043 0.031 0.027 0.029 A 212436
4134.63146 4.826 5.181 5.015 4.904 4.846 0.037 0.05 0.036 0.032 0.034 A 212726
4136.63861 4.734 5.115 4.891 4.801 4.745 0.036 0.08 0.041 0.032 0.033 B 212983
4141.56574 4.835 5.192 4.984 4.897 4.843 0.032 0.076 0.039 0.031 0.03 A 213685
4143.60744 4.829 5.208 5.02 4.919 4.846 0.031 0.052 0.031 0.029 0.029 A 213990
4145.62699 4.796 5.148 4.971 4.864 4.811 0.039 0.059 0.038 0.028 0.037 A 214261
4150.52182 5.04 5.409 5.19 5.098 5.052 0.032 0.076 0.035 0.029 0.029 A 214773
4152.56533 4.776 5.051 4.908 4.85 4.79 0.038 0.057 0.034 0.033 0.034 A 215093
4154.59088 4.879 5.257 4.978 4.903 4.885 0.037 0.084 0.037 0.033 0.034 B 215402
4157.54918 4.82 5.162 4.974 4.886 4.831 0.035 0.057 0.033 0.032 0.033 A 215812
4159.58339 4.759 5.162 4.933 4.829 4.773 0.028 0.043 0.027 0.024 0.026 A 216128
4162.5339 4.779 5.218 5.003 4.871 4.791 0.029 0.04 0.027 0.025 0.027 A 216589
4164.56037 4.88 5.349 5.117 4.985 4.905 0.035 0.063 0.034 0.029 0.031 A 216878
#4167.5382 29.999 29.999 29.999 29.999 29.999 0.028 0.04 0.029 0.027 0.027 C 217282
4173.54475 4.728 5.171 4.986 4.845 4.75 0.025 0.035 0.028 0.023 0.023 A 218042
4176.51609 4.733 5.079 4.909 4.804 4.747 0.033 0.043 0.034 0.029 0.031 A 218484
#4180.5161 4.558 5.017 4.745 4.639 4.566 0.125 0.074 0.074 0.09 0.113 D 218946
4186.50582 4.678 5.033 4.853 4.74 4.692 0.026 0.033 0.028 0.023 0.023 A 219816
4191.48457 4.798 5.158 4.995 4.89 4.815 0.03 0.04 0.032 0.027 0.028 A 220355
#4194.49438 4.664 5.082 4.813 4.731 4.68 0.06 0.064 0.047 0.045 0.052 D 220851
#4198.48128 5.061 5.379 5.163 5.09 5.055 0.057 0.054 0.042 0.043 0.049 D 221270
4273.93918 4.586 4.556 4.618 4.619 4.612 0.034 0.045 0.04 0.034 0.033 A 228600
4280.94219 4.826 5.225 5.001 4.899 4.837 0.037 0.05 0.034 0.03 0.032 A 229265
4284.90217 4.745 5.054 4.908 4.808 4.761 0.03 0.051 0.038 0.029 0.028 A 229897
4290.94142 4.567 4.297 4.391 4.492 4.56 0.033 0.052 0.042 0.033 0.034 A 230605
4294.90035 4.661 4.778 4.751 4.715 4.676 0.046 0.055 0.047 0.042 0.043 B 231313
4298.88587 4.799 4.939 4.904 4.854 4.813 0.051 0.055 0.044 0.04 0.044 B 232015
4301.88334 4.737 5.076 4.935 4.83 4.759 0.034 0.054 0.041 0.033 0.031 A 232554
4304.87325 4.586 4.705 4.714 4.662 4.618 0.038 0.043 0.039 0.034 0.036 A 233036
4307.87049 4.773 5.16 4.906 4.831 4.786 0.028 0.051 0.035 0.027 0.027 A 233559
#4310.90766 4.743 4.968 4.842 4.799 4.751 0.057 0.06 0.055 0.053 0.054 D 233989
4314.88719 4.629 4.778 4.727 4.688 4.637 0.043 0.051 0.046 0.041 0.041 B 234465
4329.92413 4.561 4.697 4.666 4.621 4.589 0.034 0.042 0.038 0.032 0.033 A 235237
4332.81002 4.675 5.096 4.925 4.772 4.692 0.037 0.054 0.04 0.032 0.033 A 235735
4334.86138 5.046 5.512 5.295 5.158 5.079 0.042 0.042 0.047 0.04 0.04 B 236110
