HJD MAG_4 MAG_0 MAG_1 MAG_2 MAG_3 MER_4 MER_0 MER_1 MER_2 MER_3 GRADE FRAME
#2105.93046 5.609 6.089 5.801 5.708 5.635 0.031 0.068 0.035 0.029 0.028 A 26359
#2113.91695 5.281 5.517 5.329 5.315 5.292 0.034 0.059 0.04 0.033 0.037 A 26671
#2113.92986 5.656 6.172 5.853 5.748 5.677 0.031 0.057 0.036 0.029 0.029 A 26677
#2115.87127 5.277 5.544 5.339 5.316 5.284 0.033 0.055 0.041 0.034 0.037 A 26967
#2115.88521 5.464 6.081 5.653 5.527 5.473 0.03 0.051 0.035 0.028 0.028 A 26971
#2115.92102 5.542 5.768 5.656 5.611 5.562 0.033 0.047 0.042 0.033 0.035 A 26986
#2117.83019 5.277 5.681 5.4 5.334 5.286 0.032 0.057 0.04 0.031 0.036 A 27389
#2117.85031 5.637 6.054 5.796 5.718 5.66 0.031 0.059 0.033 0.028 0.028 A 27398
#2128.80094 5.35 5.815 5.503 5.416 5.367 0.031 0.066 0.037 0.028 0.028 A 28011
#2129.80819 5.646 6.088 5.825 5.738 5.67 0.032 0.065 0.035 0.029 0.029 A 28229
#2130.79871 5.329 5.822 5.498 5.404 5.342 0.035 0.06 0.039 0.032 0.038 A 28440
#2130.80943 5.409 5.862 5.548 5.47 5.423 0.029 0.064 0.033 0.028 0.027 A 28445
#2131.80784 5.55 5.956 5.704 5.63 5.568 0.035 0.074 0.041 0.033 0.038 B 28645
#2131.81641 5.605 5.968 5.767 5.69 5.628 0.03 0.068 0.033 0.027 0.027 A 28649
#2132.83467 5.4 5.931 5.566 5.467 5.412 0.031 0.068 0.033 0.028 0.028 A 28869
#2133.83742 5.545 5.735 5.605 5.586 5.552 0.036 0.064 0.042 0.035 0.04 A 29086
#2133.84597 5.654 6.188 5.855 5.742 5.671 0.03 0.056 0.033 0.027 0.027 A 29090
#2134.84216 5.315 5.769 5.455 5.374 5.326 0.04 0.071 0.042 0.035 0.041 B 29302
#2134.86449 5.444 6.038 5.615 5.504 5.457 0.035 0.066 0.035 0.03 0.031 A 29312
#2135.85815 5.211 5.534 5.314 5.27 5.218 0.036 0.065 0.042 0.035 0.039 A 29522
#2140.82998 5.626 6.11 5.806 5.717 5.646 0.038 0.074 0.042 0.035 0.038 B 30267
#2144.85824 5.554 6.23 5.874 5.68 5.576 0.038 0.075 0.043 0.034 0.039 B 31098
#2156.76232 5.384 5.951 5.591 5.473 5.401 0.032 0.071 0.038 0.031 0.03 A 31702
#2166.78029 5.327 5.874 5.511 5.402 5.337 0.029 0.054 0.033 0.028 0.027 A 31972
#2167.76758 5.378 5.994 5.579 5.451 5.388 0.03 0.06 0.033 0.027 0.027 A 32155
#2168.78041 5.329 5.899 5.52 5.406 5.341 0.028 0.053 0.032 0.026 0.026 A 32326
#2169.79205 5.283 5.705 5.416 5.348 5.291 0.026 0.051 0.034 0.026 0.025 A 32484
#2171.72486 5.62 6.003 5.765 5.692 5.632 0.029 0.061 0.035 0.027 0.026 A 32640
#2172.78433 5.309 5.583 5.349 5.336 5.312 0.026 0.051 0.037 0.026 0.024 A 32852
